fold,split,group,subjects
Fold_1,test,Control,10
Fold_1,test,Patient,10
Fold_1,training,Control,30
Fold_1,training,Patient,30
Fold_1,validation,Control,10
Fold_1,validation,Patient,10
Fold_2,test,Control,10
Fold_2,test,Patient,10
Fold_2,training,Control,30
Fold_2,training,Patient,30
Fold_2,validation,Control,10
Fold_2,validation,Patient,10
Fold_3,test,Control,10
Fold_3,test,Patient,10
Fold_3,training,Control,30
Fold_3,training,Patient,30
Fold_3,validation,Control,10
Fold_3,validation,Patient,10
Fold_4,test,Control,10
Fold_4,test,Patient,10
Fold_4,training,Control,30
Fold_4,training,Patient,30
Fold_4,validation,Control,10
Fold_4,validation,Patient,10
Fold_5,test,Control,10
Fold_5,test,Patient,10
Fold_5,training,Control,30
Fold_5,training,Patient,30
Fold_5,validation,Control,10
Fold_5,validation,Patient,10
