Fold,Model,Foot,BestParams,Val_AUC,Test_Acc,Test_Sens,Test_Spec,Test_AUC
1,Random Forest,Left,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42}",0.9,0.6,0.7,0.5,0.78
1,Random Forest,Right,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 200, 'random_state': 42}",0.625,0.7,0.8,0.6,0.78
1,Random Forest,Combined,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 1, 'n_estimators': 200, 'random_state': 42}",0.83,0.8,0.9,0.7,0.87
1,SVM-Linear,Left,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.96,0.6,0.7,0.5,0.78
1,SVM-Linear,Right,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.66,0.65,0.7,0.6,0.75
1,SVM-Linear,Combined,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.8,0.7,0.8,0.6,0.78
1,SVM-RBF,Left,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.95,0.65,0.7,0.6,0.79
1,SVM-RBF,Right,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.66,0.65,0.6,0.7,0.87
1,SVM-RBF,Combined,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.75,0.75,0.9,0.6,0.75
1,1D-ResNet,Left,"{'lr': 0.0003, 'dropout': 0.2}",0.74,0.65,0.9,0.4,0.73
1,1D-ResNet,Right,"{'lr': 0.001, 'dropout': 0.2}",0.93,0.5,0.6,0.4,0.51
1,1D-ResNet,Combined,"{'lr': 0.001, 'dropout': 0.4}",0.89,0.8,0.9,0.7,0.84
1,LSTM,Left,"{'lr': 0.0003, 'dropout': 0.2}",0.74,0.7,0.9,0.5,0.89
1,LSTM,Right,"{'lr': 0.001, 'dropout': 0.4}",0.93,0.65,0.5,0.8,0.64
1,LSTM,Combined,"{'lr': 0.0003, 'dropout': 0.4}",0.82,0.8,0.9,0.7,0.92
1,GRU,Left,"{'lr': 0.001, 'dropout': 0.2}",0.82,0.6,0.7,0.5,0.76
1,GRU,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.93,0.55,0.5,0.6,0.53
1,GRU,Combined,"{'lr': 0.001, 'dropout': 0.4}",0.91,0.65,0.6,0.7,0.76
