Model,Foot,Acc,Acc_std,Sens,Sens_std,Spec,Spec_std,AUC,AUC_std
Random Forest,Left,0.71,0.097,0.68,0.204,0.74,0.102,0.816,0.0905
Random Forest,Right,0.73,0.051,0.78,0.1166,0.68,0.1166,0.794,0.0481
Random Forest,Combined,0.77,0.0678,0.78,0.0748,0.76,0.08,0.847,0.0681
SVM-Linear,Left,0.68,0.0678,0.66,0.102,0.7,0.0632,0.759,0.0429
SVM-Linear,Right,0.67,0.103,0.76,0.1356,0.58,0.2227,0.736,0.0637
SVM-Linear,Combined,0.72,0.0748,0.82,0.098,0.62,0.172,0.783,0.0827
SVM-RBF,Left,0.74,0.0583,0.74,0.1625,0.74,0.08,0.781,0.0684
SVM-RBF,Right,0.72,0.051,0.76,0.1356,0.68,0.098,0.746,0.0811
SVM-RBF,Combined,0.7,0.0548,0.7,0.1414,0.7,0.1095,0.77,0.0341
Logistic Regression,Left,0.76,0.086,0.78,0.1939,0.74,0.102,0.81,0.0994
Logistic Regression,Right,0.67,0.051,0.68,0.098,0.66,0.049,0.726,0.0771
Logistic Regression,Combined,0.74,0.08,0.78,0.098,0.7,0.1095,0.787,0.08
