scope,fold,model,n_train,n_validation,n_test,best_params,validation_accuracy,validation_precision,validation_recall,validation_f1,test_accuracy,test_precision,test_recall,test_f1
left,Fold_1,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.7,0.6428571428571429,0.9,0.75,0.8,0.8,0.8,0.8
left,Fold_1,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 200}",0.75,0.6923076923076923,0.9,0.782608695652174,0.7,0.6666666666666666,0.8,0.7272727272727273
left,Fold_1,linear_svm,60,20,20,"{'C': 0.1, 'k_best': 100}",0.8,0.75,0.9,0.8181818181818182,0.6,0.6,0.6,0.6
left,Fold_1,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 'scale', 'k_best': 100}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.55,0.5454545454545454,0.6,0.5714285714285714
left,Fold_2,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.9,0.9,0.9,0.9,0.65,0.6153846153846154,0.8,0.6956521739130435
left,Fold_2,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.65,0.6153846153846154,0.8,0.6956521739130435
left,Fold_2,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 100}",0.75,0.7272727272727273,0.8,0.7619047619047619,0.75,0.6923076923076923,0.9,0.782608695652174
left,Fold_2,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 0.1, 'k_best': 50}",0.8,0.75,0.9,0.8181818181818182,0.55,0.5294117647058824,0.9,0.6666666666666666
left,Fold_3,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.6,0.6666666666666666,0.4,0.5
left,Fold_3,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.65,0.8,0.4,0.5333333333333333
left,Fold_3,linear_svm,60,20,20,"{'C': 10.0, 'k_best': 25}",0.9,0.9,0.9,0.9,0.5,0.5,0.2,0.2857142857142857
left,Fold_3,rbf_svm,60,20,20,"{'C': 1.0, 'gamma': 0.1, 'k_best': 50}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.45,0.4,0.2,0.2666666666666666
left,Fold_4,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.8,0.8,0.8,0.8,0.8,0.75,0.9,0.8181818181818182
left,Fold_4,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.8,0.75,0.9,0.8181818181818182
left,Fold_4,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 200}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.85,0.8181818181818182,0.9,0.8571428571428571
left,Fold_4,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 200}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.75,0.6923076923076923,0.9,0.782608695652174
left,Fold_5,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'k_best': 25}",0.8,0.8,0.8,0.8,0.85,0.8888888888888888,0.8,0.8421052631578947
left,Fold_5,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 'all'}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.8,0.875,0.7,0.7777777777777778
left,Fold_5,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 400}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.75,0.8571428571428571,0.6,0.7058823529411765
left,Fold_5,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 400}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.8,0.75,0.9,0.8181818181818182
right,Fold_1,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.7,0.6428571428571429,0.9,0.75,0.65,0.6363636363636364,0.7,0.6666666666666666
right,Fold_1,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 200}",0.75,0.6923076923076923,0.9,0.782608695652174,0.7,0.6666666666666666,0.8,0.7272727272727273
right,Fold_1,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 'all'}",0.8,0.8,0.8,0.8,0.85,0.8181818181818182,0.9,0.8571428571428571
right,Fold_1,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 0.001, 'k_best': 100}",0.8,0.75,0.9,0.8181818181818182,0.6,0.6,0.6,0.6
right,Fold_2,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.7,0.6428571428571429,0.9,0.75
right,Fold_2,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.65,0.6153846153846154,0.8,0.6956521739130435
right,Fold_2,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 400}",0.75,0.8571428571428571,0.6,0.7058823529411765,0.75,0.7272727272727273,0.8,0.7619047619047619
right,Fold_2,rbf_svm,60,20,20,"{'C': 1.0, 'gamma': 0.1, 'k_best': 100}",0.7,0.6428571428571429,0.9,0.75,0.6,0.5625,0.9,0.6923076923076923
right,Fold_3,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.6,0.6666666666666666,0.4,0.5
right,Fold_3,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.6,0.6666666666666666,0.4,0.5
right,Fold_3,linear_svm,60,20,20,"{'C': 0.1, 'k_best': 100}",0.9,0.9,0.9,0.9,0.65,0.8,0.4,0.5333333333333333
right,Fold_3,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 0.01, 'k_best': 25}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.45,0.3333333333333333,0.1,0.1538461538461538
right,Fold_4,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.8,0.8,0.8,0.8,0.8,0.75,0.9,0.8181818181818182
right,Fold_4,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.8,0.75,0.9,0.8181818181818182
right,Fold_4,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 100}",0.9,0.9,0.9,0.9,0.75,0.6923076923076923,0.9,0.782608695652174
right,Fold_4,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 200}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.75,0.6666666666666666,1.0,0.8
right,Fold_5,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.75,0.7272727272727273,0.8,0.7619047619047619,0.65,0.6363636363636364,0.7,0.6666666666666666
right,Fold_5,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'log2', 'k_best': 'all'}",0.95,1.0,0.9,0.9473684210526316,0.85,0.8888888888888888,0.8,0.8421052631578947
right,Fold_5,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 400}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.7,0.8333333333333334,0.5,0.625
right,Fold_5,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 400}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.8,0.75,0.9,0.8181818181818182
combined,Fold_1,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 'all'}",0.75,0.6923076923076923,0.9,0.782608695652174,0.8,0.875,0.7,0.7777777777777778
combined,Fold_1,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'log2', 'k_best': 200}",0.75,0.6923076923076923,0.9,0.782608695652174,0.7,0.7,0.7,0.7
combined,Fold_1,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 200}",0.8,0.75,0.9,0.8181818181818182,0.6,0.6,0.6,0.6
combined,Fold_1,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 'scale', 'k_best': 200}",0.8,0.75,0.9,0.8181818181818182,0.6,0.6,0.6,0.6
combined,Fold_2,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.9,0.9,0.9,0.9,0.65,0.6153846153846154,0.8,0.6956521739130435
combined,Fold_2,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.9,0.9,0.9,0.9,0.65,0.6153846153846154,0.8,0.6956521739130435
combined,Fold_2,linear_svm,60,20,20,"{'C': 100.0, 'k_best': 25}",0.8,0.8,0.8,0.8,0.7,0.6428571428571429,0.9,0.75
combined,Fold_2,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 'scale', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.7,0.6666666666666666,0.8,0.7272727272727273
combined,Fold_3,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.65,0.7142857142857143,0.5,0.5882352941176471
combined,Fold_3,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.7,0.8333333333333334,0.5,0.625
combined,Fold_3,linear_svm,60,20,20,"{'C': 10.0, 'k_best': 50}",0.9,0.9,0.9,0.9,0.5,0.5,0.2,0.2857142857142857
combined,Fold_3,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 0.001, 'k_best': 200}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.55,0.6,0.3,0.4
combined,Fold_4,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'k_best': 25}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.85,0.7692307692307693,1.0,0.8695652173913043
combined,Fold_4,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.8,0.8,0.8,0.8
combined,Fold_4,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 400}",0.9,0.9,0.9,0.9,0.85,0.8181818181818182,0.9,0.8571428571428571
combined,Fold_4,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 400}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.75,0.6666666666666666,1.0,0.8
combined,Fold_5,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.8,0.8,0.8,0.8,0.75,0.7272727272727273,0.8,0.7619047619047619
combined,Fold_5,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'log2', 'k_best': 'all'}",0.9,0.9,0.9,0.9,0.75,0.8571428571428571,0.6,0.7058823529411765
combined,Fold_5,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 25}",0.75,0.7272727272727273,0.8,0.7619047619047619,0.85,0.8888888888888888,0.8,0.8421052631578947
combined,Fold_5,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 'scale', 'k_best': 'all'}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.8,0.8,0.8,0.8
enhanced,Fold_1,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 50}",0.75,0.6923076923076923,0.9,0.782608695652174,0.8,0.875,0.7,0.7777777777777778
enhanced,Fold_1,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 200}",0.75,0.6923076923076923,0.9,0.782608695652174,0.85,0.8181818181818182,0.9,0.8571428571428571
enhanced,Fold_1,linear_svm,60,20,20,"{'C': 0.1, 'k_best': 400}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.8,0.8,0.8,0.8
enhanced,Fold_1,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 0.001, 'k_best': 200}",0.8,0.75,0.9,0.8181818181818182,0.75,0.7777777777777778,0.7,0.7368421052631579
enhanced,Fold_2,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.75,0.6923076923076923,0.9,0.782608695652174
enhanced,Fold_2,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.75,0.6923076923076923,0.9,0.782608695652174
enhanced,Fold_2,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 100}",0.8,0.875,0.7,0.7777777777777778,0.75,0.6923076923076923,0.9,0.782608695652174
enhanced,Fold_2,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 0.01, 'k_best': 25}",0.9,0.9,0.9,0.9,0.75,0.6923076923076923,0.9,0.782608695652174
enhanced,Fold_3,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.6,0.6666666666666666,0.4,0.5
enhanced,Fold_3,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 100}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.6,0.75,0.3,0.4285714285714285
enhanced,Fold_3,linear_svm,60,20,20,"{'C': 0.01, 'k_best': 200}",0.9,0.8333333333333334,1.0,0.9090909090909092,0.7,0.75,0.6,0.6666666666666666
enhanced,Fold_3,rbf_svm,60,20,20,"{'C': 10.0, 'gamma': 'scale', 'k_best': 200}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.6,0.75,0.3,0.4285714285714285
enhanced,Fold_4,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 25}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.95,0.9090909090909092,1.0,0.9523809523809524
enhanced,Fold_4,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'log2', 'k_best': 25}",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
enhanced,Fold_4,linear_svm,60,20,20,"{'C': 0.1, 'k_best': 25}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.85,0.7692307692307693,1.0,0.8695652173913043
enhanced,Fold_4,rbf_svm,60,20,20,"{'C': 0.1, 'gamma': 'scale', 'k_best': 400}",0.95,0.9090909090909092,1.0,0.9523809523809524,0.75,0.6666666666666666,1.0,0.8
enhanced,Fold_5,random_forest,60,20,20,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'k_best': 'all'}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.75,0.8571428571428571,0.6,0.7058823529411765
enhanced,Fold_5,extra_trees,60,20,20,"{'n_estimators': 600, 'max_depth': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'k_best': 'all'}",0.95,1.0,0.9,0.9473684210526316,0.8,0.875,0.7,0.7777777777777778
enhanced,Fold_5,linear_svm,60,20,20,"{'C': 0.001, 'k_best': 50}",0.8,0.875,0.7,0.7777777777777778,0.85,0.8181818181818182,0.9,0.8571428571428571
enhanced,Fold_5,rbf_svm,60,20,20,"{'C': 1.0, 'gamma': 'scale', 'k_best': 'all'}",0.8,0.7142857142857143,1.0,0.8333333333333334,0.8,0.75,0.9,0.8181818181818182
left,Fold_1,l1_logistic,60,20,20,"{'C': 0.3, 'k_best': 100}",0.8,0.75,0.9,0.8181818181818182,0.6,0.6,0.6,0.6
left,Fold_2,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 300}",0.85,1.0,0.7,0.8235294117647058,0.8,0.75,0.9,0.8181818181818182
left,Fold_3,l1_logistic,60,20,20,"{'C': 10.0, 'k_best': 800}",0.95,1.0,0.9,0.9473684210526315,0.55,0.5714285714285714,0.4,0.47058823529411764
left,Fold_4,l1_logistic,60,20,20,"{'C': 0.3, 'k_best': 300}",0.85,0.8888888888888888,0.8,0.8421052631578947,0.75,0.7777777777777778,0.7,0.7368421052631579
left,Fold_5,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 300}",0.85,0.8181818181818182,0.9,0.8571428571428571,0.8,0.8,0.8,0.8
right,Fold_1,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 300}",0.8,0.75,0.9,0.8181818181818182,0.75,0.8571428571428571,0.6,0.7058823529411765
right,Fold_2,l1_logistic,60,20,20,"{'C': 3.0, 'k_best': 300}",0.85,1.0,0.7,0.8235294117647058,0.8,0.75,0.9,0.8181818181818182
right,Fold_3,l1_logistic,60,20,20,"{'C': 0.1, 'k_best': 50}",0.9,0.9,0.9,0.9,0.65,0.7142857142857143,0.5,0.5882352941176471
right,Fold_4,l1_logistic,60,20,20,"{'C': 0.1, 'k_best': 25}",0.8,0.75,0.9,0.8181818181818182,0.85,0.8181818181818182,0.9,0.8571428571428571
right,Fold_5,l1_logistic,60,20,20,"{'C': 3.0, 'k_best': 800}",0.95,1.0,0.9,0.9473684210526315,0.75,0.7777777777777778,0.7,0.7368421052631579
combined,Fold_1,l1_logistic,60,20,20,"{'C': 0.3, 'k_best': 300}",0.8,0.75,0.9,0.8181818181818182,0.75,0.8571428571428571,0.6,0.7058823529411765
combined,Fold_2,l1_logistic,60,20,20,"{'C': 3.0, 'k_best': 600}",0.85,1.0,0.7,0.8235294117647058,0.85,0.8181818181818182,0.9,0.8571428571428571
combined,Fold_3,l1_logistic,60,20,20,"{'C': 0.1, 'k_best': 100}",0.9,0.9,0.9,0.9,0.7,0.75,0.6,0.6666666666666666
combined,Fold_4,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 25}",0.85,0.7692307692307693,1.0,0.8695652173913043,0.85,0.8181818181818182,0.9,0.8571428571428571
combined,Fold_5,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 'all'}",0.9,0.9,0.9,0.9,0.8,0.875,0.7,0.7777777777777778
enhanced,Fold_1,l1_logistic,60,20,20,"{'C': 0.3, 'k_best': 300}",0.8,0.75,0.9,0.8181818181818182,0.75,0.7272727272727273,0.8,0.7619047619047619
enhanced,Fold_2,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 800}",0.85,1.0,0.7,0.8235294117647058,0.85,0.8181818181818182,0.9,0.8571428571428571
enhanced,Fold_3,l1_logistic,60,20,20,"{'C': 0.3, 'k_best': 100}",0.95,0.9090909090909091,1.0,0.9523809523809523,0.7,0.8333333333333334,0.5,0.625
enhanced,Fold_4,l1_logistic,60,20,20,"{'C': 3.0, 'k_best': 15}",1.0,1.0,1.0,1.0,0.85,0.7692307692307693,1.0,0.8695652173913043
enhanced,Fold_5,l1_logistic,60,20,20,"{'C': 1.0, 'k_best': 600}",0.95,1.0,0.9,0.9473684210526315,0.9,1.0,0.8,0.8888888888888888
