scope,model,validation_accuracy_mean,validation_accuracy_std,validation_f1_mean,validation_f1_std,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_recall_mean
combined,l1_logistic,0.86,0.041833001326703805,0.8622552894675657,0.03982752147585027,0.79,0.06519202405202648,0.7729225023342671,0.08659444882882208,0.8237012987012987,0.74
combined,random_forest,0.8400000000000001,0.0651920240520265,0.8522529644268776,0.0578591866666748,0.74,0.0894427190999915,0.7386270450209069,0.1045035349269468,0.7402347652347652,0.76
combined,extra_trees,0.8800000000000001,0.0758287544405155,0.8888161114248071,0.0632094342614436,0.72,0.0570087712549569,0.7053069053708441,0.0623251342652615,0.7611721611721611,0.6799999999999999
combined,linear_svm,0.8300000000000001,0.0670820393249937,0.836017316017316,0.0618376713914615,0.7,0.1541103500742244,0.6669924812030075,0.2364175093683578,0.68998556998557,0.68
combined,rbf_svm,0.8800000000000001,0.0670820393249937,0.8869228406985844,0.0624595054619118,0.6799999999999999,0.1036822067666386,0.6654545454545454,0.1693936683469399,0.6666666666666666,0.7
enhanced,l1_logistic,0.9099999999999999,0.08215838362577496,0.9082921206760215,0.08244043440556251,0.8099999999999999,0.08215838362577489,0.8005003450655626,0.10963673608861602,0.8296037296037296,0.8
enhanced,linear_svm,0.86,0.0651920240520264,0.8548340548340547,0.0780062075903626,0.79,0.0651920240520264,0.7951966873706005,0.0807302634963589,0.765944055944056,0.8400000000000001
enhanced,extra_trees,0.8699999999999999,0.0758287544405154,0.8762346577907218,0.064488319446235,0.78,0.1151086443322134,0.7492201518288475,0.1864992020907223,0.8070979020979021,0.74
enhanced,random_forest,0.8300000000000001,0.0447213595499957,0.838705459300425,0.0333999495994155,0.77,0.1254990039801113,0.7437299557504161,0.163586965682307,0.8000416250416251,0.72
enhanced,rbf_svm,0.8800000000000001,0.0758287544405154,0.8912554112554112,0.0637256787009537,0.73,0.0758287544405155,0.7132408095337157,0.1619763514132154,0.7273504273504273,0.76
left,random_forest,0.8099999999999999,0.0741619848709566,0.8214285714285715,0.0580288457473997,0.74,0.108397416943394,0.7311878510505513,0.1408157850631991,0.7441880341880343,0.74
left,extra_trees,0.85,0.0707106781186547,0.8552686062983546,0.0613602689007152,0.72,0.0758287544405154,0.71044356609574,0.1095575961802535,0.7414102564102565,0.72
left,l1_logistic,0.86,0.05477225575051661,0.8576655542599815,0.05247199686839083,0.7,0.11726039399558574,0.6851224317478188,0.1473493556729699,0.6998412698412698,0.6799999999999999
left,linear_svm,0.85,0.0790569415042094,0.8549145591250854,0.0736488110775365,0.6900000000000001,0.138744369255116,0.6462696382900986,0.2229072511372941,0.6935264735264736,0.64
left,rbf_svm,0.8699999999999999,0.0570087712549569,0.8812723508375683,0.0513079188503789,0.62,0.1483239697419132,0.6211104837191794,0.2208465875810578,0.5834348004936241,0.7
right,l1_logistic,0.86,0.06519202405202648,0.8614522938361947,0.05926702219127023,0.76,0.07416198487095661,0.7412568855293313,0.10492075457124059,0.7834776334776334,0.72
right,extra_trees,0.8699999999999999,0.0836660026534075,0.876321237877302,0.0727209842332605,0.72,0.1036822067666386,0.7166423965050968,0.1355901050992895,0.7175213675213674,0.74
right,linear_svm,0.8400000000000001,0.0651920240520265,0.8326050420168067,0.0818657342631054,0.74,0.0741619848709566,0.7119979296066252,0.1304159690168436,0.7742191142191143,0.7
right,random_forest,0.8,0.0790569415042095,0.8126201868307131,0.0648625107808796,0.6799999999999999,0.0758287544405155,0.6803030303030303,0.1191105697395972,0.6664502164502164,0.72
right,rbf_svm,0.85,0.1060660171779821,0.8685017880670054,0.0875318976691691,0.64,0.138744369255116,0.6128671328671329,0.2712699092882691,0.5824999999999999,0.7
