family,scope,fold,model,n_train,n_validation,n_test,n_features,best_params,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
feature_classical,left,Fold_1,random_forest,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8250000000000001,6,4,1,9,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.91,9,1,2,8
feature_classical,left,Fold_1,linear_svm,60,20,20,27972,"{'C': 0.01, 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.87,7,3,1,9,0.7,0.75,0.6,0.8,0.6666666666666666,0.87,8,2,4,6
feature_classical,left,Fold_1,svm_rbf,60,20,20,27972,"{'C': 10.0, 'gamma': 0.001, 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.84,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.88,9,1,4,6
feature_classical,right,Fold_1,random_forest,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'k_best': 200, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.83,6,4,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.89,10,0,2,8
feature_classical,right,Fold_1,linear_svm,60,20,20,27972,"{'C': 0.01, 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.88,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.85,9,1,4,6
feature_classical,right,Fold_1,svm_rbf,60,20,20,27972,"{'C': 10.0, 'gamma': 0.001, 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.84,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.8500000000000001,9,1,4,6
feature_classical,combined,Fold_1,random_forest,60,20,20,55944,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'k_best': 400, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.81,7,3,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.89,10,0,2,8
feature_classical,combined,Fold_1,linear_svm,60,20,20,55944,"{'C': 0.01, 'k_best': 100, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.8200000000000001,7,3,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.93,10,0,2,8
feature_classical,combined,Fold_1,svm_rbf,60,20,20,55944,"{'C': 10.0, 'gamma': 0.001, 'k_best': 100, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.8400000000000001,7,3,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.92,10,0,2,8
feature_classical,enhanced,Fold_1,random_forest,60,20,20,84430,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'k_best': 25, 'feature_source': 'fold-local split matrices', 'final_fit': 'training split only'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.77,7,3,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.88,10,0,2,8
