family,scope,fold,model,n_train,n_validation,n_test,best_params,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
raw_sequence,left,Fold_1,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5263157894736842,1.0,0.1,0.6896551724137931,0.71,1,9,0,10,0.5,0.5,1.0,0.0,0.6666666666666666,0.72,0,10,0,10
raw_sequence,left,Fold_1,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.45,0.42857142857142855,0.3,0.6,0.35294117647058826,0.61,6,4,7,3,0.55,0.5714285714285714,0.4,0.7,0.47058823529411764,0.73,7,3,6,4
raw_sequence,left,Fold_1,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.45,0.45454545454545453,0.5,0.4,0.47619047619047616,0.48,4,6,5,5,0.25,0.2222222222222222,0.2,0.3,0.21052631578947367,0.22,3,7,8,2
raw_sequence,left,Fold_1,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5333333333333333,0.8,0.3,0.64,0.55,3,7,2,8,0.55,0.5555555555555556,0.5,0.6,0.5263157894736842,0.64,6,4,5,5
raw_sequence,left,Fold_2,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 4, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5263157894736842,1.0,0.1,0.6896551724137931,0.81,1,9,0,10,0.6,0.5625,0.9,0.3,0.6923076923076923,0.7,3,7,1,9
raw_sequence,left,Fold_2,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.35,0.36363636363636365,0.4,0.3,0.38095238095238093,0.36,3,7,6,4,0.5,0.5,0.5,0.5,0.5,0.65,5,5,5,5
raw_sequence,left,Fold_2,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.6666666666666666,0.4,0.8,0.5,0.68,8,2,6,4,0.4,0.4166666666666667,0.5,0.3,0.45454545454545453,0.42,3,7,5,5
raw_sequence,left,Fold_2,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.64,7,3,4,6,0.7,0.6666666666666666,0.8,0.6,0.7272727272727273,0.73,6,4,2,8
raw_sequence,left,Fold_3,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,1.0,0.0,0.6666666666666666,0.8900000000000001,0,10,0,10,0.5,0.5,1.0,0.0,0.6666666666666666,0.68,0,10,0,10
raw_sequence,left,Fold_3,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 4, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.6,0.6,0.6,0.6,0.49,6,4,4,6,0.35,0.38461538461538464,0.5,0.2,0.43478260869565216,0.2499999999999999,2,8,5,5
raw_sequence,left,Fold_3,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.35,0.2,0.1,0.6,0.13333333333333333,0.47,6,4,9,1,0.2,0.2,0.2,0.2,0.2,0.2699999999999999,2,8,8,2
raw_sequence,left,Fold_3,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.8,0.4,0.9,0.5333333333333333,0.81,9,1,6,4,0.6,0.625,0.5,0.7,0.5555555555555556,0.5700000000000001,7,3,5,5
raw_sequence,left,Fold_4,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.0,0.0,1.0,0.0,0.8300000000000001,10,0,10,0,0.5,0.0,0.0,1.0,0.0,0.77,10,0,10,0
raw_sequence,left,Fold_4,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 4, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.5833333333333334,0.7,0.5,0.6363636363636364,0.66,5,5,3,7,0.6,0.5833333333333334,0.7,0.5,0.6363636363636364,0.53,5,5,3,7
raw_sequence,left,Fold_4,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5454545454545454,0.6,0.5,0.5714285714285714,0.635,5,5,4,6,0.4,0.42857142857142855,0.6,0.2,0.5,0.42,2,8,4,6
raw_sequence,left,Fold_4,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.6,0.6,0.6,0.6,0.64,6,4,4,6,0.6,0.6666666666666666,0.4,0.8,0.5,0.75,8,2,6,4
raw_sequence,left,Fold_5,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5294117647058824,0.9,0.2,0.6666666666666666,0.71,2,8,1,9,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143,0.92,2,8,0,10
raw_sequence,left,Fold_5,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.2,0.8,0.2857142857142857,0.65,8,2,8,2,0.6,1.0,0.2,1.0,0.3333333333333333,0.73,10,0,8,2
raw_sequence,left,Fold_5,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.15,0.18181818181818182,0.2,0.1,0.19047619047619047,0.22,1,9,8,2,0.55,0.5454545454545454,0.6,0.5,0.5714285714285714,0.585,5,5,4,6
raw_sequence,left,Fold_5,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.7,0.7,0.7,0.7,0.7,0.78,7,3,3,7,0.7,0.75,0.6,0.8,0.6666666666666666,0.65,8,2,4,6
raw_sequence,right,Fold_1,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,1.0,0.0,0.6666666666666666,0.78,0,10,0,10,0.5,0.5,1.0,0.0,0.6666666666666666,0.75,0,10,0,10
raw_sequence,right,Fold_1,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5294117647058824,0.9,0.2,0.6666666666666666,0.4599999999999999,2,8,1,9,0.4,0.4166666666666667,0.5,0.3,0.45454545454545453,0.3399999999999999,3,7,5,5
raw_sequence,right,Fold_1,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5333333333333333,0.8,0.3,0.64,0.52,3,7,2,8,0.5,0.5,0.5,0.5,0.5,0.35,5,5,5,5
raw_sequence,right,Fold_1,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.6,0.6,0.6,0.6,0.76,6,4,4,6,0.55,0.5714285714285714,0.4,0.7,0.47058823529411764,0.65,7,3,6,4
raw_sequence,right,Fold_2,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 5, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5294117647058824,0.9,0.2,0.6666666666666666,0.84,2,8,1,9,0.55,0.5294117647058824,0.9,0.2,0.6666666666666666,0.6900000000000001,2,8,1,9
raw_sequence,right,Fold_2,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.4,0.25,0.1,0.7,0.14285714285714285,0.375,7,3,9,1,0.45,0.4444444444444444,0.4,0.5,0.42105263157894735,0.46,5,5,6,4
raw_sequence,right,Fold_2,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 4, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.3,0.3,0.3,0.3,0.3,0.3399999999999999,3,7,7,3,0.6,0.6,0.6,0.6,0.6,0.62,6,4,4,6
raw_sequence,right,Fold_2,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.75,0.7777777777777778,0.7,0.8,0.7368421052631579,0.71,8,2,3,7,0.7,0.6428571428571429,0.9,0.5,0.75,0.79,5,5,1,9
raw_sequence,right,Fold_3,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,1.0,0.0,0.6666666666666666,0.88,0,10,0,10,0.55,0.5263157894736842,1.0,0.1,0.6896551724137931,0.66,1,9,0,10
raw_sequence,right,Fold_3,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.75,0.3,0.9,0.42857142857142855,0.73,9,1,7,3,0.4,0.375,0.3,0.5,0.3333333333333333,0.32,5,5,7,3
raw_sequence,right,Fold_3,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.35,0.3333333333333333,0.3,0.4,0.3157894736842105,0.3,4,6,7,3,0.3,0.3,0.3,0.3,0.3,0.265,3,7,7,3
raw_sequence,right,Fold_3,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.7,0.8333333333333334,0.5,0.9,0.625,0.8600000000000001,9,1,5,5,0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.62,7,3,4,6
raw_sequence,right,Fold_4,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.6666666666666666,0.6,0.7,0.631578947368421,0.7100000000000001,7,3,4,6,0.8,0.875,0.7,0.9,0.7777777777777778,0.8400000000000001,9,1,3,7
raw_sequence,right,Fold_4,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.5,0.5,0.5,0.56,5,5,5,5,0.3,0.25,0.2,0.4,0.2222222222222222,0.27,4,6,8,2
raw_sequence,right,Fold_4,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.3,0.7,0.375,0.7,7,3,7,3,0.45,0.42857142857142855,0.3,0.6,0.35294117647058826,0.29,6,4,7,3
raw_sequence,right,Fold_4,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.4,0.6,0.4444444444444444,0.6,6,4,6,4,0.65,0.8,0.4,0.9,0.5333333333333333,0.8200000000000001,9,1,6,4
raw_sequence,right,Fold_5,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 5, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.5882352941176471,1.0,0.3,0.7407407407407407,0.83,3,7,0,10,0.65,0.5882352941176471,1.0,0.3,0.7407407407407407,0.76,3,7,0,10
raw_sequence,right,Fold_5,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 7, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.4,0.4166666666666667,0.5,0.3,0.45454545454545453,0.47,3,7,5,5,0.4,0.4375,0.7,0.1,0.5384615384615384,0.2299999999999999,1,9,3,7
raw_sequence,right,Fold_5,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 5, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.4,0.4166666666666667,0.5,0.3,0.45454545454545453,0.42,3,7,5,5,0.35,0.38461538461538464,0.5,0.2,0.43478260869565216,0.24,2,8,5,5
raw_sequence,right,Fold_5,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 5, 'channels': 9, 'normalization': 'per-channel z-score fitted on training split'}",0.7,0.7,0.7,0.7,0.7,0.77,7,3,3,7,0.55,0.5555555555555556,0.5,0.6,0.5263157894736842,0.5499999999999999,6,4,5,5
raw_sequence,combined,Fold_1,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 6, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.55,0.5333333333333333,0.8,0.3,0.64,0.66,3,7,2,8,0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.75,7,3,2,8
raw_sequence,combined,Fold_1,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.5,0.5,0.5,0.62,5,5,5,5,0.45,0.45454545454545453,0.5,0.4,0.47619047619047616,0.4,4,6,5,5
raw_sequence,combined,Fold_1,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.7,0.3,0.5833333333333334,0.4,3,7,3,7,0.3,0.25,0.2,0.4,0.2222222222222222,0.27,4,6,8,2
raw_sequence,combined,Fold_1,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.5882352941176471,1.0,0.3,0.7407407407407407,0.72,3,7,0,10,0.65,0.6,0.9,0.4,0.72,0.74,4,6,1,9
raw_sequence,combined,Fold_2,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.9,0.1,0.6428571428571429,0.78,1,9,1,9,0.5,0.5,1.0,0.0,0.6666666666666666,0.73,0,10,0,10
raw_sequence,combined,Fold_2,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 6, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.2,0.2,0.2,0.2,0.2,0.27,2,8,8,2,0.7,0.6428571428571429,0.9,0.5,0.75,0.8300000000000001,5,5,1,9
raw_sequence,combined,Fold_2,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.4,0.4,0.4,0.4,0.4,0.3299999999999999,4,6,6,4,0.6,0.5833333333333334,0.7,0.5,0.6363636363636364,0.5599999999999999,5,5,3,7
raw_sequence,combined,Fold_2,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.625,0.5,0.7,0.5555555555555556,0.65,7,3,5,5,0.8,0.75,0.9,0.7,0.8181818181818182,0.84,7,3,1,9
raw_sequence,combined,Fold_3,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.0,0.0,1.0,0.0,0.8799999999999999,10,0,10,0,0.5,0.0,0.0,1.0,0.0,0.73,10,0,10,0
raw_sequence,combined,Fold_3,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.5,0.5,0.5,0.4399999999999999,5,5,5,5,0.2,0.25,0.3,0.1,0.2727272727272727,0.1599999999999999,1,9,7,3
raw_sequence,combined,Fold_3,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 8, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.5,0.5,0.5,0.51,5,5,5,5,0.2,0.2,0.2,0.2,0.2,0.2299999999999999,2,8,8,2
raw_sequence,combined,Fold_3,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.8,0.4,0.9,0.5333333333333333,0.8300000000000001,9,1,6,4,0.5,0.5,0.4,0.6,0.4444444444444444,0.55,6,4,6,4
raw_sequence,combined,Fold_4,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.7,0.6666666666666666,0.8,0.6,0.7272727272727273,0.7300000000000001,6,4,2,8,0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.92,8,2,1,9
raw_sequence,combined,Fold_4,lstm,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.6,0.625,0.5,0.7,0.5555555555555556,0.5599999999999999,7,3,5,5,0.45,0.42857142857142855,0.3,0.6,0.35294117647058826,0.37,6,4,7,3
raw_sequence,combined,Fold_4,gru,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 1, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.5,0.5,0.2,0.8,0.2857142857142857,0.64,8,2,8,2,0.45,0.4444444444444444,0.4,0.5,0.42105263157894735,0.51,5,5,6,4
raw_sequence,combined,Fold_4,patchtst,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 2, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.7,0.8333333333333334,0.5,0.9,0.625,0.63,9,1,5,5,0.7,0.8333333333333334,0.5,0.9,0.625,0.84,9,1,5,5
raw_sequence,combined,Fold_5,resnet1d,60,20,20,"{'sequence_length': 1024, 'downsample': 10, 'max_epochs': 8, 'patience': 2, 'batch_size': 16, 'best_epoch': 3, 'channels': 18, 'normalization': 'per-channel z-score fitted on training split'}",0.65,0.6,0.9,0.4,0.72,0.79,4,6,1,9,0.6,0.5625,0.9,0.3,0.6923076923076923,0.78,3,7,1,9
