family,scope,fold,model,n_train,n_validation,n_test,n_features,best_params,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
feature_neural,left,Fold_1,resnet1d,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 2, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.7,0.6428571428571429,0.9,0.5,0.75,0.74,5,5,1,9,0.9,0.9,0.9,0.9,0.9,0.93,9,1,1,9
feature_neural,left,Fold_1,lstm,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 3, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8,6,4,1,9,0.55,0.5714285714285714,0.4,0.7,0.47058823529411764,0.62,7,3,6,4
feature_neural,left,Fold_1,gru,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 5, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.7,0.6428571428571429,0.9,0.5,0.75,0.7,5,5,1,9,0.7,0.75,0.6,0.8,0.6666666666666666,0.78,8,2,4,6
feature_neural,left,Fold_1,patchtst,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.8200000000000001,7,3,2,8,0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.8600000000000001,7,3,2,8
feature_neural,right,Fold_1,resnet1d,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 2, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.7,0.6428571428571429,0.9,0.5,0.75,0.74,5,5,1,9,0.9,0.9,0.9,0.9,0.9,0.93,9,1,1,9
feature_neural,right,Fold_1,lstm,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.81,9,1,2,8,0.65,0.6363636363636364,0.7,0.6,0.6666666666666666,0.7199999999999999,6,4,3,7
feature_neural,right,Fold_1,gru,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 200, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.74,7,3,2,8,0.55,0.5384615384615384,0.7,0.4,0.6086956521739131,0.6799999999999999,4,6,3,7
feature_neural,right,Fold_1,patchtst,60,20,20,27972,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 6, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.7,0.6428571428571429,0.9,0.5,0.75,0.8200000000000001,5,5,1,9,0.8,0.8,0.8,0.8,0.8,0.92,8,2,2,8
feature_neural,combined,Fold_1,resnet1d,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 100, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 1, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.75,0.7272727272727273,0.8,0.7,0.7619047619047619,0.74,7,3,2,8,0.8,1.0,0.6,1.0,0.75,0.9,10,0,4,6
feature_neural,combined,Fold_1,lstm,60,20,20,55944,"{'input': 'fold-local feature vector', 'k_features': 400, 'learning_rate': 0.0008, 'weight_decay': 0.0001, 'max_epochs': 6, 'patience': 2, 'best_epoch': 4, 'preprocessing': 'median impute, variance filter, train-fitted z-score, train-fitted SelectKBest', 'selection_metric': 'f1'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.81,9,1,2,8,0.65,0.6363636363636364,0.7,0.6,0.6666666666666666,0.7199999999999999,6,4,3,7
