fold,split,rows,feature_columns,path,feature_set,extraction_protocol
Fold_1,training,60,84430,results/fold_features/Fold_1/training_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_1,validation,20,84430,results/fold_features/Fold_1/validation_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_1,test,20,84430,results/fold_features/Fold_1/test_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_2,training,60,84430,results/fold_features/Fold_2/training_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_2,validation,20,84430,results/fold_features/Fold_2/validation_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_2,test,20,84430,results/fold_features/Fold_2/test_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_3,training,60,84430,results/fold_features/Fold_3/training_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_3,validation,20,84430,results/fold_features/Fold_3/validation_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_3,test,20,84430,results/fold_features/Fold_3/test_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_4,training,60,84430,results/fold_features/Fold_4/training_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_4,validation,20,84430,results/fold_features/Fold_4/validation_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_4,test,20,84430,results/fold_features/Fold_4/test_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_5,training,60,84430,results/fold_features/Fold_5/training_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_5,validation,20,84430,results/fold_features/Fold_5/validation_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
Fold_5,test,20,84430,results/fold_features/Fold_5/test_feature_matrix_efficient.csv,efficient,fixed TSFresh calculators cached per subject; fold-local split matrices; learned preprocessing and selection fit on training split
