family,scope,model,validation_accuracy_mean,validation_auc_mean,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_specificity_mean,test_precision_mean,test_f1_mean,test_auc_mean,test_auc_std
feature_classical,combined,linear_svm,0.8800000000000001,0.8860000000000001,0.8300000000000001,0.0570087712549569,0.86,0.8,0.8230380730380731,0.8341241773736053,0.892,0.04494441010848847
feature_classical,combined,random_forest,0.8699999999999999,0.898,0.82,0.09082951062292473,0.8400000000000001,0.8,0.8229059829059828,0.8245387513579733,0.892,0.05848076606885379
feature_classical_tsfresh,combined,random_forest_fresh,0.8400000000000001,0.892,0.82,0.10368220676663861,0.8400000000000001,0.8,0.8077777777777777,0.8201913875598086,0.874,0.08443932733033821
feature_classical,combined,svm_rbf,0.8800000000000001,0.9,0.8099999999999999,0.07416198487095667,0.86,0.76,0.7938461538461539,0.818963548528766,0.8880000000000001,0.06300793600809342
feature_classical_tsfresh,combined,linear_svm_fresh,0.8400000000000001,0.898,0.78,0.09082951062292476,0.74,0.82,0.8080952380952381,0.7532976827094474,0.892,0.056302753041036976
feature_neural,combined,patchtst,0.8300000000000001,0.8859999999999999,0.78,0.057008771254956896,0.82,0.74,0.7719047619047619,0.7894258373205741,0.866,0.06730527468185533
feature_neural,combined,gru,0.78,0.8300000000000001,0.77,0.11510864433221335,0.78,0.76,0.8143503555268261,0.7674860282277163,0.826,0.12895735729302152
feature_classical_tsfresh,combined,svm_rbf_fresh,0.86,0.898,0.76,0.06519202405202651,0.76,0.76,0.7687012987012987,0.7581461675579323,0.836,0.12778888840583905
feature_neural,combined,lstm,0.78,0.8300000000000001,0.72,0.13509256086106294,0.6599999999999999,0.78,0.7715584415584416,0.6853730583142348,0.852,0.11166915420114902
feature_neural,combined,resnet1d,0.8099999999999999,0.842,0.72,0.06708203932499371,0.74,0.7,0.7403263403263403,0.7243489157676801,0.8140000000000001,0.07765307463326872
feature_classical_tsfresh,enhanced,random_forest_fresh,0.86,0.891,0.8300000000000001,0.08366600265340758,0.82,0.8400000000000001,0.846969696969697,0.8196608946608948,0.901,0.04954795656734997
feature_classical,enhanced,random_forest,0.8699999999999999,0.8880000000000001,0.8300000000000001,0.0758287544405155,0.8400000000000001,0.82,0.8384615384615385,0.8319071724106049,0.8960000000000001,0.05549774770204637
feature_classical,enhanced,linear_svm,0.8699999999999999,0.9019999999999999,0.8,0.06123724356957943,0.86,0.74,0.786874236874237,0.8119709682638744,0.8939999999999999,0.05272570530585622
feature_classical,enhanced,svm_rbf,0.89,0.9099999999999999,0.8,0.07905694150420949,0.8,0.8,0.8162393162393162,0.7996902665094885,0.892,0.05718391382198315
feature_classical_tsfresh,enhanced,linear_svm_fresh,0.86,0.9199999999999999,0.77,0.130384048104053,0.74,0.8,0.775,0.7428282828282828,0.876,0.07127411872482182
feature_neural,enhanced,patchtst,0.8300000000000001,0.89,0.77,0.10368220676663861,0.82,0.72,0.7523776223776224,0.7787577639751553,0.866,0.08961026726887937
feature_classical_tsfresh,enhanced,svm_rbf_fresh,0.8699999999999999,0.892,0.77,0.1036822067666386,0.78,0.76,0.7687012987012987,0.7676699770817418,0.8320000000000001,0.1291123541726352
feature_neural,enhanced,resnet1d,0.8400000000000001,0.8480000000000001,0.74,0.06519202405202654,0.8,0.6799999999999999,0.7432234432234432,0.7495041952707856,0.8300000000000001,0.07280109889280524
feature_neural,enhanced,gru,0.79,0.8220000000000001,0.74,0.0961769203083567,0.72,0.76,0.7628571428571428,0.7288235294117646,0.79,0.1410673597966588
feature_neural,enhanced,lstm,0.74,0.776,0.72,0.09082951062292471,0.8,0.64,0.6945387945387946,0.7369000564652739,0.786,0.08619744775803975
feature_classical_tsfresh,left,linear_svm_fresh,0.86,0.9099999999999999,0.82,0.0758287544405155,0.82,0.82,0.8261904761904763,0.809625668449198,0.9119999999999999,0.04549725266430929
feature_classical_tsfresh,left,random_forest_fresh,0.85,0.8949999999999999,0.82,0.0836660026534076,0.8,0.8400000000000001,0.8400000000000001,0.8147474747474748,0.9099999999999999,0.04847679857416327
feature_classical,left,random_forest,0.86,0.8969999999999999,0.8099999999999999,0.0821583836257749,0.86,0.76,0.7865423465423464,0.818189545008767,0.8880000000000001,0.07014271166700069
feature_classical,left,linear_svm,0.85,0.906,0.79,0.08944271909999166,0.82,0.76,0.7738461538461539,0.7908827404479578,0.892,0.053103672189407
feature_classical_tsfresh,left,svm_rbf_fresh,0.85,0.89,0.78,0.044721359549995836,0.78,0.78,0.7849999999999999,0.7791919191919192,0.8560000000000001,0.09964938534682492
