family,scope,fold,model,n_train,n_validation,n_test,n_features,best_params,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
feature_classical_tsfresh,left,Fold_1,random_forest_fresh,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 213, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8200000000000001,6,4,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.93,10,0,2,8
feature_classical_tsfresh,left,Fold_1,linear_svm_fresh,60,20,20,27972,"{'C': 0.1, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 391, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.88,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.87,9,1,4,6
feature_classical_tsfresh,left,Fold_1,svm_rbf_fresh,60,20,20,27972,"{'C': 10.0, 'gamma': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 125, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.8200000000000001,7,3,1,9,0.8,0.875,0.7,0.9,0.7777777777777778,0.88,9,1,3,7
feature_classical_tsfresh,right,Fold_1,random_forest_fresh,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 210, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8200000000000001,6,4,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.9,10,0,2,8
feature_classical_tsfresh,right,Fold_1,linear_svm_fresh,60,20,20,27972,"{'C': 0.1, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 382, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.89,8,2,1,9,0.7,0.75,0.6,0.8,0.6666666666666666,0.8400000000000001,8,2,4,6
feature_classical_tsfresh,right,Fold_1,svm_rbf_fresh,60,20,20,27972,"{'C': 10.0, 'gamma': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 382, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.84,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.81,9,1,4,6
feature_classical_tsfresh,combined,Fold_1,random_forest_fresh,60,20,20,55944,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 407, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.8200000000000001,6,4,1,9,0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.89,9,1,2,8
feature_classical_tsfresh,combined,Fold_1,linear_svm_fresh,60,20,20,55944,"{'C': 0.01, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 749, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.87,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.85,9,1,4,6
feature_classical_tsfresh,combined,Fold_1,svm_rbf_fresh,60,20,20,55944,"{'C': 10.0, 'gamma': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 749, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.82,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.83,9,1,4,6
feature_classical_tsfresh,enhanced,Fold_1,random_forest_fresh,60,20,20,84430,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 412, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.81,6,4,1,9,0.9,1.0,0.8,1.0,0.8888888888888888,0.89,10,0,2,8
feature_classical_tsfresh,enhanced,Fold_1,linear_svm_fresh,60,20,20,84430,"{'C': 0.01, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 764, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.87,7,3,1,9,0.8,0.875,0.7,0.9,0.7777777777777778,0.86,9,1,3,7
feature_classical_tsfresh,enhanced,Fold_1,svm_rbf_fresh,60,20,20,84430,"{'C': 10.0, 'gamma': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 764, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.75,0.9,0.7,0.8181818181818182,0.82,7,3,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.83,9,1,4,6
feature_classical_tsfresh,left,Fold_2,random_forest_fresh,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 855, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.9,0.9,0.9,0.9,0.9,0.92,9,1,1,9,0.8,0.75,0.9,0.7,0.8181818181818182,0.91,7,3,1,9
feature_classical_tsfresh,left,Fold_2,linear_svm_fresh,60,20,20,27972,"{'C': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 855, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.9,9,1,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.9000000000000001,7,3,1,9
feature_classical_tsfresh,left,Fold_2,svm_rbf_fresh,60,20,20,27972,"{'C': 1.0, 'gamma': 'scale', 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 140, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8799999999999999,9,1,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.79,7,3,1,9
feature_classical_tsfresh,right,Fold_2,random_forest_fresh,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 138, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.9,8,2,1,9,0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.88,6,4,1,9
feature_classical_tsfresh,right,Fold_2,linear_svm_fresh,60,20,20,27972,"{'C': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 138, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.8799999999999999,8,2,1,9,0.75,0.6923076923076923,0.9,0.6,0.782608695652174,0.88,6,4,1,9
feature_classical_tsfresh,right,Fold_2,svm_rbf_fresh,60,20,20,27972,"{'C': 1.0, 'gamma': 'scale', 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 138, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8799999999999999,9,1,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.8500000000000001,7,3,1,9
feature_classical_tsfresh,combined,Fold_2,random_forest_fresh,60,20,20,55944,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 768, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.92,8,2,1,9,0.8,0.75,0.9,0.7,0.8181818181818182,0.88,7,3,1,9
feature_classical_tsfresh,combined,Fold_2,linear_svm_fresh,60,20,20,55944,"{'C': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 258, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.8,0.8,0.8,0.8,0.8899999999999999,8,2,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.88,7,3,1,9
feature_classical_tsfresh,combined,Fold_2,svm_rbf_fresh,60,20,20,55944,"{'C': 1.0, 'gamma': 'scale', 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 258, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.85,0.8888888888888888,0.8,0.9,0.8421052631578947,0.8999999999999999,9,1,2,8,0.8,0.75,0.9,0.7,0.8181818181818182,0.81,7,3,1,9
feature_classical_tsfresh,enhanced,Fold_2,random_forest_fresh,60,20,20,84430,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 1630, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.9,0.9,0.9,0.9,0.9,0.915,9,1,1,9,0.8,0.75,0.9,0.7,0.8181818181818182,0.9,7,3,1,9
feature_classical_tsfresh,enhanced,Fold_2,linear_svm_fresh,60,20,20,84430,"{'C': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.2, 'n_selected_features': 796, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.8,0.875,0.7,0.9,0.7777777777777778,0.9,9,1,3,7,0.8,0.75,0.9,0.7,0.8181818181818182,0.92,7,3,1,9
feature_classical_tsfresh,enhanced,Fold_2,svm_rbf_fresh,60,20,20,84430,"{'C': 10.0, 'gamma': 'scale', 'selector': 'tsfresh.select_features', 'fdr_level': 0.05, 'n_selected_features': 278, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.9,0.9,0.9,0.9,0.9,0.8899999999999999,9,1,1,9,0.8,0.75,0.9,0.7,0.8181818181818182,0.7900000000000001,7,3,1,9
feature_classical_tsfresh,left,Fold_3,random_forest_fresh,60,20,20,27972,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 551, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.9,0.9,0.9,0.9,0.9,0.97,9,1,1,9,0.7,0.75,0.6,0.8,0.6666666666666666,0.8300000000000001,8,2,4,6
feature_classical_tsfresh,left,Fold_3,linear_svm_fresh,60,20,20,27972,"{'C': 0.001, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 551, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.95,1.0,0.9,1.0,0.9473684210526316,0.97,10,0,1,9,0.75,0.8571428571428571,0.6,0.9,0.7058823529411765,0.8699999999999999,9,1,4,6
feature_classical_tsfresh,left,Fold_3,svm_rbf_fresh,60,20,20,27972,"{'C': 1.0, 'gamma': 0.01, 'selector': 'tsfresh.select_features', 'fdr_level': 0.5, 'n_selected_features': 551, 'final_fit': 'training split only', 'feature_source': 'fold-local split matrices'}",0.9,0.8333333333333334,1.0,0.8,0.9090909090909092,0.93,8,2,0,10,0.7,0.7,0.7,0.7,0.7,0.72,7,3,3,7
